Id,Age,Income,Home,Emp_length,Intent,Amount,Rate,Status,Percent_income,Cred_length,result
33,25,306000,RENT,2,DEBTCONSOLIDATION,24250,13.85,0,0.08,3,N
34,26,300000,MORTGAGE,10,MEDICAL,7800,13.49,0,0.03,4,N
35,21,12000,OWN,5,EDUCATION,2500,7.51,1,0.21,4,N
36,22,48000,RENT,1,EDUCATION,30000,18.39,1,0.63,2,N
37,24,64000,RENT,8,DEBTCONSOLIDATION,30000,14.54,1,0.47,3,Y
38,25,75000,RENT,4,HOMEIMPROVEMENT,30000,16.89,1,0.4,4,Y
39,23,71500,RENT,3,DEBTCONSOLIDATION,30000,,1,0.42,4,N
40,26,62050,RENT,6,MEDICAL,30000,17.99,1,0.41,2,N
41,24,12000,OWN,4,VENTURE,2500,12.69,1,0.21,3,N
42,26,300000,MORTGAGE,10,VENTURE,20000,7.88,0,0.07,4,N
43,23,300000,OWN,1,EDUCATION,24250,19.41,0,0.08,2,Y
44,26,300000,OWN,9,HOMEIMPROVEMENT,10000,10.38,0,0.03,4,N
45,26,300000,MORTGAGE,0,EDUCATION,25000,15.33,0,0.08,3,N
46,25,300000,MORTGAGE,9,HOMEIMPROVEMENT,18000,16.45,0,0.06,3,N
47,26,80690,RENT,8,PERSONAL,30000,7.49,1,0.37,3,N
48,22,66300,RENT,4,MEDICAL,30000,12.69,1,0.38,3,N
49,26,89028,RENT,0,DEBTCONSOLIDATION,30000,6.62,1,0.34,3,N
50,24,78000,RENT,4,DEBTCONSOLIDATION,30000,,1,0.38,4,Y
51,23,78000,RENT,7,DEBTCONSOLIDATION,30000,18.62,1,0.38,3,Y
52,23,92004,RENT,6,PERSONAL,30000,15.23,1,0.33,3,Y
53,23,97000,RENT,7,VENTURE,30000,10.65,1,0.31,2,N
54,25,120000,RENT,9,EDUCATION,30000,7.9,0,0.25,4,N
55,26,280000,RENT,4,PERSONAL,10000,15.96,0,0.04,3,Y
56,26,277104,RENT,0,VENTURE,20000,11.48,0,0.07,3,N
57,23,277000,OWN,3,PERSONAL,35000,,0,0.13,4,N
58,25,128000,RENT,9,PERSONAL,30000,7.29,0,0.23,4,N
59,24,12000,OWN,2,VENTURE,1750,,0,0.15,3,Y
60,21,131000,RENT,0,VENTURE,30000,5.99,0,0.23,4,N
61,22,275000,OWN,6,VENTURE,12000,11.58,0,0.04,2,N
62,26,263000,MORTGAGE,0,EDUCATION,10000,,1,0.04,4,N
63,25,221850,MORTGAGE,9,MEDICAL,25000,15.7,1,0.1,2,N
64,22,70000,RENT,6,EDUCATION,29100,15.99,1,0.42,3,N
65,22,12000,MORTGAGE,7,EDUCATION,1500,14.84,0,0.13,3,Y
66,26,260000,OWN,10,HOMEIMPROVEMENT,28000,10.99,0,0.11,3,N
67,25,259000,MORTGAGE,9,HOMEIMPROVEMENT,20000,14.42,0,0.08,2,Y
68,24,255000,MORTGAGE,9,EDUCATION,9600,6.99,0,0.04,2,N
69,25,250000,RENT,2,MEDICAL,25000,13.49,0,0.1,4,N
70,25,12000,OWN,0,MEDICAL,3000,,1,0.25,3,N
71,22,56950,RENT,6,MEDICAL,28000,,1,0.49,2,N
72,21,12000,OWN,6,EDUCATION,3000,13.61,1,0.25,3,Y
73,23,65000,RENT,2,EDUCATION,28000,7.9,1,0.43,2,N
74,26,85000,RENT,2,VENTURE,28000,7.49,1,0.33,3,N
75,26,12000,OWN,2,EDUCATION,6100,7.51,1,0.51,3,N
76,22,88000,RENT,6,VENTURE,28000,9.91,1,0.32,3,N
77,21,12000,OWN,0,PERSONAL,4200,13.48,1,0.35,4,Y
78,22,12000,OWN,6,DEBTCONSOLIDATION,4750,7.14,1,0.4,2,N
79,24,83004,RENT,0,VENTURE,28000,15.99,1,0.34,4,Y
80,24,250000,RENT,2,EDUCATION,18000,12.98,0,0.07,3,Y
81,144,250000,RENT,4,VENTURE,4800,13.57,0,0.02,3,N
82,25,100000,RENT,5,DEBTCONSOLIDATION,28000,12.69,0,0.28,3,N
83,26,110000,RENT,10,EDUCATION,28000,8.9,0,0.25,2,N
84,26,12000,OWN,0,DEBTCONSOLIDATION,2700,,1,0.23,4,N
85,22,108000,RENT,6,EDUCATION,28000,,1,0.26,4,N
86,23,151200,RENT,7,DEBTCONSOLIDATION,28000,11.11,0,0.19,2,N
87,24,69000,RENT,2,HOMEIMPROVEMENT,27600,,1,0.4,2,N
88,21,12000,MORTGAGE,5,DEBTCONSOLIDATION,3250,15.68,1,0.27,3,Y
89,22,70000,RENT,4,EDUCATION,27500,13.06,1,0.39,3,Y
90,22,240000,OWN,6,PERSONAL,25000,,0,0.1,2,N
91,26,73200,RENT,5,VENTURE,27050,15.62,1,0.37,2,Y
92,24,83000,RENT,5,PERSONAL,27000,13.49,1,0.33,2,Y
93,24,73399,RENT,0,VENTURE,27000,,1,0.37,3,N
94,23,62500,RENT,7,MEDICAL,26000,11.71,1,0.42,2,N
95,23,120000,RENT,1,EDUCATION,25600,12.69,0,0.21,3,N
96,24,12360,OWN,2,MEDICAL,1600,13.57,0,0.13,3,N
97,22,60000,RENT,0,VENTURE,25475,10.99,1,0.42,3,N
98,25,234000,MORTGAGE,3,MEDICAL,20000,14.27,0,0.09,4,Y
99,24,234000,OWN,8,HOMEIMPROVEMENT,20000,8.88,0,0.09,4,N
100,26,234000,MORTGAGE,10,HOMEIMPROVEMENT,21600,12.18,0,0.09,3,N
101,25,221004,MORTGAGE,6,DEBTCONSOLIDATION,11900,14.42,1,0.05,3,Y
102,26,232500,MORTGAGE,0,MEDICAL,25000,14.17,0,0.11,2,Y
103,25,230000,MORTGAGE,5,MEDICAL,35000,13.99,0,0.15,4,N
104,23,83000,RENT,7,EDUCATION,25300,10.99,1,0.3,3,N
105,22,12600,MORTGAGE,,PERSONAL,2000,5.42,1,0.16,4,N
106,25,12600,OWN,3,PERSONAL,1750,13.61,0,0.14,3,N
107,21,42500,RENT,3,EDUCATION,25000,12.73,1,0.59,3,Y
108,24,41000,RENT,2,HOMEIMPROVEMENT,25000,,1,0.61,3,N
109,25,12816,OWN,0,DEBTCONSOLIDATION,3000,12.87,1,0.23,4,Y
110,24,12960,MORTGAGE,1,HOMEIMPROVEMENT,3650,9.91,1,0.28,3,N
111,26,226000,MORTGAGE,4,HOMEIMPROVEMENT,20000,11.49,0,0.09,4,N
112,25,225000,MORTGAGE,0,HOMEIMPROVEMENT,30000,19.91,0,0.13,2,Y
113,26,213000,MORTGAGE,6,EDUCATION,35000,10.65,1,0.16,2,N
114,24,225000,RENT,0,MEDICAL,6000,,0,0.03,4,N
115,24,12960,MORTGAGE,0,DEBTCONSOLIDATION,4500,11.83,1,0.35,4,N
116,23,12996,OWN,0,DEBTCONSOLIDATION,2400,13.49,1,0.18,2,Y
117,22,42000,RENT,6,MEDICAL,25000,14.59,1,0.6,2,Y
118,26,48000,RENT,2,EDUCATION,25000,9.64,1,0.52,4,N
119,25,12996,OWN,1,MEDICAL,3600,14.59,1,0.28,3,N
120,22,12996,OWN,1,EDUCATION,4750,,1,0.37,3,N
121,25,42360,RENT,1,EDUCATION,25000,16.35,1,0.59,3,Y
122,21,49000,RENT,4,EDUCATION,25000,10.99,1,0.51,2,N
123,25,225000,MORTGAGE,0,VENTURE,25000,18.67,0,0.11,2,N
124,26,225000,RENT,1,EDUCATION,3000,9.32,0,0.01,4,N
125,23,225000,RENT,8,DEBTCONSOLIDATION,7500,8.63,0,0.03,2,N
126,26,225000,MORTGAGE,2,VENTURE,25000,10.08,0,0.11,2,N
127,22,49464,RENT,5,PERSONAL,25000,11.83,1,0.51,3,N
128,23,50000,RENT,1,DEBTCONSOLIDATION,25000,7.9,1,0.5,3,N
129,25,50000,RENT,4,HOMEIMPROVEMENT,25000,5.99,1,0.5,2,N
130,24,44000,RENT,2,DEBTCONSOLIDATION,25000,15.33,1,0.57,2,N
131,23,50000,RENT,1,VENTURE,25000,11.83,1,0.5,4,N
132,22,50004,RENT,0,VENTURE,25000,10.36,1,0.5,2,N
133,22,50004,RENT,3,VENTURE,25000,12.23,1,0.5,3,N
134,22,52000,RENT,2,EDUCATION,25000,11.11,1,0.48,4,N
135,23,13200,OWN,3,DEBTCONSOLIDATION,4950,7.9,1,0.38,4,N
136,24,220000,MORTGAGE,1,EDUCATION,25000,11.58,0,0.11,2,N
137,23,216000,MORTGAGE,5,DEBTCONSOLIDATION,21000,8.9,0,0.1,3,N
138,25,216000,MORTGAGE,2,EDUCATION,25000,16.07,0,0.12,3,N
139,26,216000,MORTGAGE,10,EDUCATION,20000,14.22,0,0.09,2,Y
140,23,215000,MORTGAGE,7,MEDICAL,35000,14.79,0,0.16,3,Y
141,26,215000,MORTGAGE,11,EDUCATION,12000,7.88,0,0.06,2,N
142,23,52000,RENT,1,PERSONAL,25000,13.22,1,0.48,2,N
143,26,46000,RENT,2,DEBTCONSOLIDATION,25000,11.86,1,0.54,4,N
144,22,53000,RENT,5,EDUCATION,25000,13.43,1,0.47,4,Y
145,26,47000,RENT,0,HOMEIMPROVEMENT,25000,15.28,1,0.53,2,Y
146,23,47000,RENT,1,VENTURE,25000,17.93,1,0.53,2,N
147,23,13200,MORTGAGE,2,EDUCATION,1400,9.25,0,0.11,4,N
148,21,13200,OWN,0,VENTURE,4500,12.98,1,0.34,4,N
149,22,210000,MORTGAGE,6,VENTURE,16000,10.62,0,0.08,4,N
150,26,210000,OWN,10,PERSONAL,22000,11.83,0,0.1,4,N
151,26,48000,RENT,5,VENTURE,25000,18.43,1,0.52,2,N
152,22,54996,RENT,6,EDUCATION,25000,,1,0.45,4,N
153,24,55000,RENT,4,HOMEIMPROVEMENT,25000,,1,0.45,4,Y
154,23,55000,RENT,4,EDUCATION,25000,11.36,1,0.45,3,N
155,23,55000,RENT,4,EDUCATION,25000,15.65,1,0.45,3,Y
156,24,55164,RENT,8,PERSONAL,25000,13.22,1,0.45,4,Y
157,26,56000,RENT,4,DEBTCONSOLIDATION,25000,12.87,1,0.45,2,N
158,24,203500,OWN,8,MEDICAL,20000,13.04,0,0.1,3,N
159,23,190000,MORTGAGE,5,EDUCATION,22000,17.58,1,0.12,3,Y
160,23,13920,OWN,2,PERSONAL,7750,17.04,1,0.56,4,N
161,24,60000,RENT,0,PERSONAL,25000,10.99,1,0.42,3,N
162,24,60000,RENT,2,PERSONAL,25000,11.11,1,0.42,3,N
163,26,54000,RENT,7,DEBTCONSOLIDATION,25000,14.83,1,0.46,2,Y
164,23,14000,OWN,2,DEBTCONSOLIDATION,4000,,1,0.29,3,N
165,24,200000,RENT,8,MEDICAL,12000,12.69,0,0.06,2,N
166,24,200000,MORTGAGE,8,HOMEIMPROVEMENT,12000,13.49,0,0.06,2,N
167,21,200000,MORTGAGE,5,EDUCATION,16000,14.65,0,0.08,4,N
168,25,54000,RENT,3,HOMEIMPROVEMENT,25000,16.82,1,0.46,4,N
169,23,60000,RENT,3,PERSONAL,25000,12.73,1,0.42,3,N
170,23,60000,RENT,7,PERSONAL,25000,10.25,1,0.42,4,N
171,21,60000,RENT,6,EDUCATION,25000,10.99,1,0.42,4,N
172,25,61959,RENT,9,MEDICAL,25000,12.73,1,0.4,2,N
173,22,56400,RENT,2,HOMEIMPROVEMENT,25000,14.96,1,0.44,3,Y
174,23,200000,MORTGAGE,7,EDUCATION,28000,,0,0.14,2,N
175,21,200000,MORTGAGE,2,DEBTCONSOLIDATION,25000,13.99,0,0.13,2,N
176,24,200000,MORTGAGE,3,VENTURE,24000,7.49,0,0.12,4,N
177,26,200000,MORTGAGE,4,EDUCATION,15000,14.79,0,0.07,3,N
178,25,200000,MORTGAGE,2,DEBTCONSOLIDATION,15500,11.99,0,0.08,2,N
179,24,200000,RENT,8,EDUCATION,10000,8.49,0,0.05,4,N
180,24,66000,RENT,3,EDUCATION,25000,9.91,1,0.38,2,N
181,22,66000,RENT,6,EDUCATION,25000,13.06,1,0.38,3,Y
182,22,200000,MORTGAGE,6,DEBTCONSOLIDATION,9000,6.17,0,0.04,4,N
183,144,200000,MORTGAGE,4,EDUCATION,6000,11.86,0,0.03,2,N
184,25,200000,RENT,5,EDUCATION,18000,16.32,0,0.09,3,N
185,25,200000,MORTGAGE,2,VENTURE,12000,10.38,0,0.06,2,N
186,25,200000,MORTGAGE,9,PERSONAL,23050,14.35,0,0.12,3,N
187,24,200000,MORTGAGE,8,DEBTCONSOLIDATION,20000,,0,0.1,3,N
188,24,60000,RENT,2,DEBTCONSOLIDATION,25000,,1,0.42,2,Y
189,21,14400,OWN,0,HOMEIMPROVEMENT,3000,,1,0.21,4,N
190,26,66996,RENT,10,PERSONAL,25000,15.21,1,0.37,2,Y
191,23,67000,RENT,3,EDUCATION,25000,7.9,1,0.37,4,N
192,24,67000,RENT,2,VENTURE,25000,10.99,1,0.37,3,N
193,24,68000,RENT,5,PERSONAL,25000,14.09,1,0.37,3,Y
194,25,69000,RENT,9,PERSONAL,25000,17.49,1,0.36,2,N
195,25,200000,MORTGAGE,0,EDUCATION,12000,11.48,0,0.06,3,N
196,26,188000,MORTGAGE,10,VENTURE,20000,17.74,1,0.11,2,N
197,26,200000,MORTGAGE,4,PERSONAL,3000,13.92,0,0.01,3,N
198,25,69996,RENT,9,EDUCATION,25000,15.21,1,0.36,3,N
199,22,14400,OWN,2,MEDICAL,4000,10.99,1,0.28,3,N
200,24,70000,RENT,3,EDUCATION,25000,11.86,1,0.36,4,N
201,24,14400,OWN,5,PERSONAL,6000,7.49,1,0.42,3,N
202,24,56100,RENT,7,MEDICAL,25000,16.49,1,0.38,4,N
203,25,66000,RENT,9,VENTURE,25000,15.33,1,0.38,2,Y
204,26,66000,RENT,3,HOMEIMPROVEMENT,25000,11.58,1,0.38,4,N
205,25,14400,OWN,7,EDUCATION,5375,5.79,1,0.37,2,N
206,25,72612,RENT,9,MEDICAL,25000,13.11,1,0.34,2,N
207,23,74000,RENT,3,MEDICAL,25000,10.36,1,0.34,3,N
208,25,75000,RENT,9,DEBTCONSOLIDATION,25000,10.36,1,0.33,2,N
209,24,192000,RENT,0,MEDICAL,22000,,0,0.11,2,Y
210,21,192000,MORTGAGE,123,VENTURE,20000,6.54,0,0.1,4,N
211,25,191000,MORTGAGE,1,MEDICAL,10000,12.53,0,0.05,4,N
212,26,190300,MORTGAGE,5,PERSONAL,15000,,0,0.08,3,N
213,22,190000,MORTGAGE,3,VENTURE,10000,,0,0.05,3,N
214,24,75000,RENT,4,EDUCATION,25000,10.25,1,0.33,4,N
215,22,71000,RENT,1,EDUCATION,25000,15.95,1,0.35,4,Y
216,26,190000,MORTGAGE,3,VENTURE,20000,12.18,0,0.11,4,N
217,23,189996,OWN,0,PERSONAL,24000,11.83,0,0.13,3,N
218,23,78000,RENT,7,DEBTCONSOLIDATION,25000,,1,0.32,2,Y
219,23,78000,RENT,1,VENTURE,25000,10.62,1,0.32,3,N
220,23,78504,RENT,7,VENTURE,25000,10.74,1,0.32,3,N
221,25,186000,OWN,9,VENTURE,10000,10.25,0,0.05,4,N
222,24,185000,MORTGAGE,,EDUCATION,35000,12.42,0,0.19,2,N
223,25,185000,RENT,6,VENTURE,15000,15.27,0,0.08,2,N
224,24,62050,RENT,8,MEDICAL,25000,15.33,1,0.34,2,Y
225,23,79416,RENT,7,VENTURE,25000,15.21,1,0.31,2,Y
226,21,14400,OWN,4,VENTURE,6250,14.72,1,0.43,2,N
227,24,79631,RENT,8,PERSONAL,25000,15.7,1,0.31,2,Y
228,24,79632,RENT,0,EDUCATION,25000,13.35,1,0.31,4,N
229,21,14400,MORTGAGE,0,MEDICAL,1500,,0,0.1,4,N
230,24,80000,RENT,6,EDUCATION,25000,6.62,1,0.31,2,N
231,26,80000,RENT,5,DEBTCONSOLIDATION,25000,13.61,1,0.31,4,N
232,22,185000,RENT,4,MEDICAL,25000,11.36,0,0.14,2,N
233,26,185000,OWN,10,PERSONAL,5000,7.68,0,0.03,2,N
234,24,184992,RENT,7,HOMEIMPROVEMENT,22000,14.46,0,0.12,4,Y
235,23,184000,OWN,5,EDUCATION,2500,11.83,0,0.01,2,N
236,24,172000,MORTGAGE,6,DEBTCONSOLIDATION,20000,13.47,1,0.12,4,Y
237,24,183000,MORTGAGE,2,MEDICAL,20000,11.49,0,0.11,3,N
238,22,183000,MORTGAGE,3,EDUCATION,1000,,0,0.01,2,N
239,25,182952,MORTGAGE,9,PERSONAL,15000,6.03,0,0.08,3,N
240,23,74004,RENT,7,DEBTCONSOLIDATION,25000,16.35,1,0.34,4,N
241,26,74004,RENT,10,DEBTCONSOLIDATION,25000,,1,0.34,4,Y
242,25,81000,RENT,5,DEBTCONSOLIDATION,25000,7.29,1,0.31,3,N
243,23,81600,RENT,1,MEDICAL,25000,11.36,1,0.31,3,N
244,24,82000,RENT,8,VENTURE,25000,10.25,0,0.3,2,N
245,24,83000,RENT,5,EDUCATION,25000,11.12,0,0.3,3,N
246,24,83000,RENT,5,PERSONAL,25000,12.92,0,0.3,3,Y
247,24,180000,RENT,8,EDUCATION,18000,18.64,0,0.1,4,Y
248,23,180000,MORTGAGE,8,PERSONAL,28000,7.51,0,0.16,3,N
249,23,14400,OWN,2,HOMEIMPROVEMENT,4000,16.7,1,0.28,2,N
250,22,14400,OWN,0,PERSONAL,2100,11.14,0,0.15,4,N
251,22,84500,RENT,6,PERSONAL,25000,18.3,0,0.3,4,N
252,24,85000,RENT,5,MEDICAL,25000,10.62,0,0.29,4,N
253,24,180000,MORTGAGE,7,VENTURE,14000,11.99,0,0.08,2,N
254,26,180000,MORTGAGE,2,VENTURE,12000,9.63,0,0.07,4,N
255,25,142800,MORTGAGE,9,MEDICAL,10000,18.25,1,0.06,4,N
256,23,14664,MORTGAGE,0,DEBTCONSOLIDATION,6000,,1,0.41,4,N
257,24,87000,RENT,8,HOMEIMPROVEMENT,25000,14.84,0,0.29,3,N
258,24,75000,RENT,0,VENTURE,25000,14.7,1,0.33,3,Y
259,23,76000,RENT,7,DEBTCONSOLIDATION,25000,16.02,1,0.33,4,N
260,23,66215,RENT,1,MEDICAL,25000,15.37,1,0.32,2,Y
261,25,90000,RENT,9,MEDICAL,25000,10.99,0,0.28,4,N
262,21,15000,OWN,0,HOMEIMPROVEMENT,6200,7.9,1,0.41,2,N
263,26,180000,OWN,2,PERSONAL,25000,10.99,0,0.14,4,N
264,24,180000,OWN,8,EDUCATION,21000,11.48,0,0.12,3,N
265,25,180000,OWN,9,MEDICAL,20000,14.26,0,0.11,4,Y
266,26,180000,OWN,0,HOMEIMPROVEMENT,10000,8,0,0.06,4,N
267,25,180000,MORTGAGE,3,VENTURE,9950,11.26,0,0.06,2,N
268,23,15000,OWN,7,MEDICAL,4475,,1,0.3,4,N
269,23,78000,RENT,2,VENTURE,25000,16.32,1,0.32,3,Y
270,25,66300,RENT,3,MEDICAL,25000,17.93,1,0.32,4,Y
271,23,90000,RENT,0,DEBTCONSOLIDATION,25000,11.36,0,0.28,3,N
272,24,79000,RENT,9,DEBTCONSOLIDATION,25000,14.96,1,0.32,4,Y
273,24,91800,RENT,4,PERSONAL,25000,13.43,0,0.27,3,Y
274,25,92000,RENT,6,HOMEIMPROVEMENT,25000,12.69,0,0.27,3,N
275,24,92000,RENT,1,VENTURE,25000,12.73,0,0.27,4,Y
276,23,93600,RENT,3,VENTURE,25000,15.21,0,0.27,4,N
277,23,15000,MORTGAGE,1,MEDICAL,1750,12.68,0,0.12,3,Y
278,23,70550,RENT,3,MEDICAL,25000,19.04,1,0.3,4,Y
279,25,83800,RENT,2,DEBTCONSOLIDATION,25000,15.95,1,0.3,3,Y
280,26,175000,MORTGAGE,3,VENTURE,2600,8.9,0,0.01,4,N
281,25,175000,MORTGAGE,10,HOMEIMPROVEMENT,8000,7.9,0,0.05,2,N
282,22,175000,MORTGAGE,6,EDUCATION,18000,,0,0.1,2,N
283,23,175000,MORTGAGE,8,PERSONAL,21000,11.99,0,0.12,3,N
284,23,15000,OWN,4,DEBTCONSOLIDATION,4000,13.98,1,0.27,4,N
285,23,15000,OWN,4,VENTURE,4600,10.99,1,0.31,2,N
286,22,88000,RENT,6,DEBTCONSOLIDATION,25000,15.58,1,0.28,2,Y
287,25,74800,RENT,2,MEDICAL,25000,10.99,1,0.28,2,N
288,25,88000,RENT,0,VENTURE,25000,14.96,1,0.28,4,N
289,25,15000,OWN,2,HOMEIMPROVEMENT,1750,15.31,0,0.12,4,Y
290,26,88000,RENT,2,VENTURE,25000,15.65,1,0.28,3,N
291,25,100000,RENT,1,VENTURE,25000,9.33,0,0.25,4,N
292,23,15000,MORTGAGE,0,PERSONAL,3600,13.47,1,0.24,4,N
293,24,102400,RENT,8,PERSONAL,25000,10.36,0,0.24,3,N
294,24,92000,RENT,1,HOMEIMPROVEMENT,25000,16.77,1,0.27,4,Y
295,23,93000,RENT,0,DEBTCONSOLIDATION,25000,14.59,1,0.27,2,Y
296,22,175000,RENT,6,VENTURE,3500,11.91,0,0.02,2,Y
297,23,175000,MORTGAGE,3,EDUCATION,7200,8.38,0,0.04,3,N
298,25,174708,RENT,9,VENTURE,9000,10.59,0,0.05,3,N
299,25,174000,MORTGAGE,2,DEBTCONSOLIDATION,8800,14.27,0,0.05,3,N
300,26,174000,RENT,8,DEBTCONSOLIDATION,12000,12.53,0,0.07,4,N
301,25,162000,MORTGAGE,5,DEBTCONSOLIDATION,25000,16,1,0.15,3,Y
302,26,173467,MORTGAGE,10,VENTURE,10000,11.71,0,0.06,4,N
303,21,15000,OWN,0,HOMEIMPROVEMENT,3175,11.54,1,0.21,3,Y
304,25,96000,RENT,2,HOMEIMPROVEMENT,25000,15.68,1,0.26,4,Y
305,21,15120,MORTGAGE,0,EDUCATION,1500,10.59,0,0.1,2,N
306,24,97908,RENT,8,HOMEIMPROVEMENT,25000,12.61,1,0.26,2,Y
307,26,110000,RENT,3,PERSONAL,25000,,0,0.23,2,Y
308,23,15204,MORTGAGE,7,PERSONAL,2800,8.49,1,0.18,3,N
309,25,159600,RENT,0,PERSONAL,30000,17.27,1,0.19,4,Y
310,24,171500,RENT,6,DEBTCONSOLIDATION,18000,8.9,0,0.1,4,N
311,25,170004,MORTGAGE,3,MEDICAL,10000,11.11,0,0.06,4,N
312,24,158004,RENT,0,HOMEIMPROVEMENT,25000,14.59,1,0.16,2,Y
313,26,170000,RENT,0,VENTURE,13000,12.42,0,0.08,3,N
314,24,83300,RENT,0,MEDICAL,25000,,1,0.26,2,N
315,24,110000,RENT,7,HOMEIMPROVEMENT,25000,15.7,0,0.23,2,Y
316,22,15360,OWN,7,HOMEIMPROVEMENT,2500,12.53,1,0.16,3,N
317,25,134300,RENT,3,MEDICAL,5000,16.49,1,0.03,2,N
318,25,170000,MORTGAGE,2,EDUCATION,20000,7.49,0,0.12,2,N
319,22,100580,RENT,6,DEBTCONSOLIDATION,25000,14.96,1,0.25,2,Y
320,25,113000,RENT,7,MEDICAL,25000,12.73,0,0.22,4,Y
321,24,120000,RENT,8,EDUCATION,25000,10.65,0,0.21,4,N
322,25,120000,RENT,6,MEDICAL,25000,10.74,0,0.21,2,N
323,23,120000,RENT,7,EDUCATION,25000,9.99,0,0.21,2,N
324,24,91800,RENT,5,MEDICAL,25000,15.33,1,0.23,2,Y
325,21,15600,OWN,5,VENTURE,1000,7.29,0,0.06,4,N
326,26,108000,RENT,2,PERSONAL,25000,15.05,1,0.23,3,N
327,26,129996,RENT,6,PERSONAL,25000,10.75,0,0.19,3,N
328,23,130000,RENT,4,EDUCATION,25000,16.02,0,0.19,2,Y
329,23,130000,RENT,7,VENTURE,25000,11.49,0,0.19,4,N
330,25,170000,OWN,4,EDUCATION,20000,12.53,0,0.12,4,N
331,26,170000,MORTGAGE,0,VENTURE,12000,13.57,0,0.07,2,Y
332,22,169000,RENT,1,PERSONAL,14000,11.14,0,0.08,3,N
333,26,168750,RENT,10,MEDICAL,24250,12.87,0,0.14,3,Y
334,23,168600,RENT,3,EDUCATION,20000,11.58,0,0.12,3,N
335,24,168288,RENT,5,HOMEIMPROVEMENT,1800,11.12,0,0.01,3,N
336,25,168000,MORTGAGE,2,PERSONAL,35000,10.65,0,0.21,2,N
337,24,133300,RENT,6,DEBTCONSOLIDATION,25000,10.37,0,0.19,2,N
338,24,15600,OWN,5,HOMEIMPROVEMENT,3300,6.39,1,0.21,4,N
339,24,134000,RENT,8,PERSONAL,25000,16.07,0,0.19,3,Y
340,25,134000,RENT,7,MEDICAL,25000,10.62,0,0.19,2,N
341,25,15600,OWN,0,VENTURE,3200,18.09,1,0.21,2,N
342,25,135000,RENT,5,EDUCATION,25000,11.36,0,0.19,4,N
343,26,135660,RENT,10,DEBTCONSOLIDATION,25000,12.53,0,0.18,4,N
344,25,145000,RENT,0,EDUCATION,25000,9.99,0,0.17,4,N
345,23,150000,RENT,4,EDUCATION,25000,10.36,0,0.17,3,N
346,23,165000,MORTGAGE,3,EDUCATION,9600,5.99,0,0.06,3,N
347,22,153000,MORTGAGE,5,DEBTCONSOLIDATION,24000,15.62,1,0.16,2,Y
348,24,165000,MORTGAGE,5,PERSONAL,20000,10.37,0,0.12,4,N
349,25,165000,MORTGAGE,0,HOMEIMPROVEMENT,25000,19.74,0,0.15,4,N
